Node_ID,Node_Label,UX,UY,RZ
0,A,0.0,0.0,-3.725805365790267e-07
1,B,0.0,0.0,-3.934921814847664e-07
2,C,7.89530970295727e-07,0.0,-9.997606980699781e-08
3,D,1.1114687460657314e-06,4.127809399500122e-09,-8.844048639124517e-08
4,E,1.1128221261894363e-06,-8.056187990002087e-10,-4.7632231672544494e-08
5,F,1.1144352495237183e-06,-3.322190600499915e-09,-4.372606980699782e-08
6,G,1.516637919086502e-06,5.230983354053731e-09,-3.6432504695482726e-08
7,H,1.5157768949644662e-06,-6.232896478323572e-10,-1.454887317419534e-08
8,I,1.5156971049635178e-06,-4.6076937062213765e-09,-4.3912732877332664e-08
